word	log10(p)	rank
当选	   -4.0158	1001
已删	   -4.0165	1002
亚历	   -4.0166	1003
也有	   -4.0167	1004
达到	   -4.0176	1005
程度	   -4.0178	1006
任务	   -4.0179	1007
拉伯	   -4.0184	1008
无法	   -4.0187	1009
权协	   -4.0188	1010
贵州	   -4.0190	1011
卫生	   -4.0192	1012
河畔	   -4.0193	1013
制造	   -4.0199	1014
州地	   -4.0210	1015
知名	   -4.0211	1016
秘书	   -4.0215	1017
另一	   -4.0216	1018
明治	   -4.0221	1019
黑龙	   -4.0226	1020
拉夫	   -4.0237	1021
大量	   -4.0241	1022
度每	   -4.0244	1023
首次	   -4.0246	1024
格式	   -4.0248	1025
高级	   -4.0251	1026
市委	   -4.0258	1027
墓葬	   -4.0261	1028
早期	   -4.0264	1029
大桥	   -4.0266	1030
君主	   -4.0269	1031
德斯	   -4.0271	1032
继续	   -4.0285	1033
主党	   -4.0286	1034
很多	   -4.0286	1035
津市	   -4.0290	1036
确认	   -4.0293	1037
左右	   -4.0298	1038
城区	   -4.0299	1039
并在	   -4.0309	1040
重新	   -4.0314	1041
波兰	   -4.0316	1042
二月	   -4.0316	1043
校长	   -4.0320	1044
修订	   -4.0321	1045
柏林	   -4.0322	1046
规定	   -4.0324	1047
经过	   -4.0329	1048
综合	   -4.0331	1049
荷兰	   -4.0336	1050
口变	   -4.0338	1051
京都	   -4.0344	1052
卫星	   -4.0345	1053
娱乐	   -4.0349	1054
哲学	   -4.0349	1055
日文	   -4.0352	1056
交流	   -4.0354	1057
甘肃	   -4.0359	1058
院士	   -4.0361	1059
分析	   -4.0362	1060
英格	   -4.0365	1061
投资	   -4.0366	1062
速度	   -4.0368	1063
羽毛	   -4.0378	1064
又名	   -4.0379	1065
细胞	   -4.0385	1066
大奖	   -4.0386	1067
是否	   -4.0389	1068
德尔	   -4.0392	1069
东部	   -4.0413	1070
图示	   -4.0418	1071
父亲	   -4.0418	1072
时候	   -4.0418	1073
运行	   -4.0419	1074
郑州	   -4.0424	1075
动画	   -4.0424	1076
首播	   -4.0426	1077
定义	   -4.0427	1078
取消	   -4.0432	1079
并不	   -4.0434	1080
为主	   -4.0437	1081
维亚	   -4.0450	1082
这里	   -4.0454	1083
不过	   -4.0463	1084
群岛	   -4.0463	1085
良条	   -4.0464	1086
化图	   -4.0465	1087
数字	   -4.0478	1088
统一	   -4.0484	1089
得了	   -4.0488	1090
算机	   -4.0490	1091
皇家	   -4.0491	1092
播放	   -4.0492	1093
机关	   -4.0496	1094
团体	   -4.0499	1095
查看	   -4.0505	1096
