word	log10(p)	rank	dependance	use fraction	other use fraction
来西	   -3.7133	408	   17.4395	    0.0375	    0.0545
山西	   -3.7318	425	   15.2770	    0.0359	    0.0478
西南	   -3.7966	532	   12.1613	    0.0309	    0.0380
西北	   -3.8076	545	   13.6213	    0.0302	    0.0426
江西	   -3.8191	571	   24.5278	    0.0294	    0.0767
陕西	   -3.8653	643	  269.3070	    0.0264	    0.8421
西藏	   -3.9167	765	   79.9974	    0.0235	    0.2501
广西	   -3.9223	785	   27.3970	    0.0232	    0.0857
西安	   -3.9426	827	   12.9905	    0.0221	    0.0406
墨西	   -3.9462	838	  168.1259	    0.0219	    0.5257
西来	   -3.9488	846	   10.1389	    0.0218	    0.0317
西哥	   -3.9504	852	   54.6139	    0.0217	    0.1708
祖西	   -3.9531	859	   56.7188	    0.0216	    0.1774
西洋	   -3.9857	939	   53.9505	    0.0200	    0.1687
西部	   -3.9935	959	    6.8423	    0.0197	    0.0214
东西	   -4.2455	1712	    6.5655	    0.0110	    0.0205
西方	   -4.2651	1784	    5.8368	    0.0105	    0.0183

word	log10(p)	rank	dependance	use fraction	other use fraction
和	   -2.4017
共和	   -3.0185	24	  131.0792	    0.1880	    0.4045
和国	   -3.0327	31	   22.8712	    0.1819	    0.0706
昭和	   -3.6240	310	  198.8449	    0.0466	    0.6136
和平	   -3.7768	498	   15.8077	    0.0328	    0.0488

word	log10(p)	rank	dependance	use fraction	other use fraction
名	   -2.4101
名称	   -3.4282	158	   95.7061	    0.0746	    0.2896
地名	   -3.5972	283	   15.2621	    0.0506	    0.0462
排名	   -3.6236	308	  132.1222	    0.0476	    0.3998
姓名	   -3.6269	315	  105.8429	    0.0472	    0.3203
学名	   -3.6424	330	   12.1671	    0.0456	    0.0368
命名	   -3.6904	377	   76.3189	    0.0408	    0.2310
原名	   -3.7133	409	   32.8212	    0.0387	    0.0993
一名	   -3.7509	459	    6.7064	    0.0355	    0.0203
文名	   -3.7569	466	   10.5079	    0.0350	    0.0318
提名	   -3.7586	472	   44.9725	    0.0349	    0.1361
名为	   -3.7787	500	    8.2317	    0.0333	    0.0249
名单	   -3.8495	616	   44.8716	    0.0283	    0.1358
站名	   -3.8896	691	   12.3041	    0.0258	    0.0372
名字	   -3.9049	740	   34.4548	    0.0249	    0.1043
知名	   -4.0211	1016	   38.4259	    0.0191	    0.1163
又名	   -4.0379	1065	   61.2611	    0.0183	    0.1854
更名	   -4.1418	1346	   32.2951	    0.0144	    0.0977
路名	   -4.1650	1434	    6.3499	    0.0137	    0.0192
本名	   -4.1704	1445	    5.6647	    0.0135	    0.0171
名信	   -4.1713	1449	   18.7998	    0.0135	    0.0569
假名	   -4.1828	1484	   81.2261	    0.0131	    0.2458
改名	   -4.2424	1699	   18.7536	    0.0114	    0.0568
名消	   -4.2426	1700	   37.6007	    0.0114	    0.1138

word	log10(p)	rank	dependance	use fraction	other use fraction
有	   -2.4126
没有	   -3.3533	122	  256.2215	    0.0892	    0.7709
有限	   -3.4978	202	  179.3779	    0.0639	    0.5397
所有	   -3.6117	297	   42.6536	    0.0492	    0.1283
有一	   -3.6473	340	    8.5637	    0.0453	    0.0258
只有	   -3.8338	593	   84.0843	    0.0295	    0.2530
具有	   -3.8943	705	   94.0212	    0.0257	    0.2829
共有	   -3.8974	715	   17.7672	    0.0255	    0.0535
拥有	   -3.9092	750	  275.3419	    0.0248	    0.8285
还有	   -3.9300	800	   63.3328	    0.0236	    0.1906
有关	   -3.9649	883	   29.3785	    0.0218	    0.0884
也有	   -4.0167	1004	   22.5975	    0.0194	    0.0680
